,feed_blend_cluster_id,controllables_cluster_id,IRON_FEED_PERC_mean_historical_actuals,SILICA_FEED_PERC_mean_historical_actuals,STARCH_FLOW_mean_historical_actuals,AMINA_FLOW_mean_historical_actuals,ORE_PULP_FLOW_mean_historical_actuals,ORE_PULP_PH_mean_historical_actuals,ORE_PULP_DENSITY_mean_historical_actuals,FLOTATION_COLUMN_01_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_02_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_03_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_04_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_05_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_06_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_07_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_01_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_02_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_03_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_04_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_05_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_06_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_07_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_01_AIR_FLOW_mean_simulations,FLOTATION_COLUMN_02_AIR_FLOW_mean_simulations,FLOTATION_COLUMN_03_AIR_FLOW_mean_simulations,FLOTATION_COLUMN_04_AIR_FLOW_mean_simulations,FLOTATION_COLUMN_05_AIR_FLOW_mean_simulations,FLOTATION_COLUMN_06_AIR_FLOW_mean_simulations,FLOTATION_COLUMN_07_AIR_FLOW_mean_simulations,FLOTATION_COLUMN_01_LEVEL_mean_simulations,FLOTATION_COLUMN_02_LEVEL_mean_simulations,FLOTATION_COLUMN_03_LEVEL_mean_simulations,FLOTATION_COLUMN_04_LEVEL_mean_simulations,FLOTATION_COLUMN_05_LEVEL_mean_simulations,FLOTATION_COLUMN_06_LEVEL_mean_simulations,FLOTATION_COLUMN_07_LEVEL_mean_simulations,IRON_CONCENTRATE_PERC_mean_simulated_predictions,SILICA_CONCENTRATE_PERC_mean_simulated_predictions,IRON_AND_SILICA_CONCENTRATE_PERC_mean_simulated_predictions,IRON_CONCENTRATE_PERC_mean_historical_predictions,SILICA_CONCENTRATE_PERC_mean_historical_predictions,IRON_CONCENTRATE_PERC_mean_historical_actuals,SILICA_CONCENTRATE_PERC_mean_historical_actuals
0,0.0,57.0,59.57580128205128,10.531193910256409,2798.7327099529602,462.9774110344784,399.61551070891596,9.774383754384827,1.649000009649296,290.0229338519409,282.33655574474716,291.93198841257123,299.9189850389158,299.903613320741,300.24438678774925,299.5549116809117,498.955328791565,509.70995678743833,506.30512330709286,435.2460987968458,440.710206775996,436.53284341125374,435.1752017716683,299.92505819444443,299.8613891358025,299.93719330246915,299.93534706790126,299.9375142901235,299.88100989197534,299.89632484567903,638.2831414106823,653.2201770882382,708.2916921145386,467.8221830972539,571.3227243559172,572.2673292661858,522.9020195859882,65.50856596205774,1.6957024665524019,38.63211103021259,65.24875080455475,2.315350823518676,65.29080402620599,2.0015975641223367
1,1.0,57.0,54.42044573643411,16.884137596899226,1833.198548577924,512.6245658940055,399.9132468107457,9.597668177217916,1.6981678476563624,264.31352278180805,264.82461503109243,264.1933963407561,299.97535017692985,300.4520368783207,268.63644463016794,268.48463753229976,574.5516674773155,558.9078764143211,579.1090543000137,378.44803345696,389.92900578971,393.7801046518232,390.73320740086587,299.92505819444443,299.8613891358025,299.93719330246915,299.93534706790126,299.9375142901235,299.88100989197534,299.89632484567903,638.2831414106823,653.2201770882382,708.2916921145386,467.8221830972539,571.3227243559172,572.2673292661858,522.9020195859882,65.04607672964343,2.1326319598216497,30.500376040075466,64.69404977518275,2.9242637206197197,64.35598005994235,3.271961035663401
2,2.0,57.0,54.76757352941177,16.23014705882353,3688.981003580875,443.0020423883442,400.1834975942922,9.981113520424838,1.708841261574074,270.3691382352941,268.0795013139978,270.3893087554466,299.649090506682,300.3648677491259,282.8410542824074,280.79650142973856,546.9467525706116,515.8263426438424,551.4719611505847,492.78271544117644,494.71474850898693,488.7066112540849,488.894901511438,299.92505819444443,299.8613891358025,299.93719330246915,299.93534706790126,299.9375142901235,299.88100989197534,299.89632484567903,638.2831414106823,653.2201770882382,708.2916921145386,467.8221830972539,571.3227243559172,572.2673292661858,522.9020195859882,65.65288211276696,1.116847084882734,58.78412810618593,65.5099042751244,1.4757369646718965,65.77833333333332,2.0101259468667347
3,3.0,57.0,58.86296527777778,11.972618055555555,3212.268374732319,483.4832809494406,399.954884018998,9.901839145099695,1.666004683164549,281.70448372299387,283.30453260223766,283.7690978665123,299.94012856220417,299.7774916523868,295.5474210339506,295.11206177276233,476.259512833443,470.80046747007015,488.6872158673453,395.8972080002888,393.9483042141709,399.2317462185056,395.4194695757378,299.92505819444443,299.8613891358025,299.93719330246915,299.93534706790126,299.9375142901235,299.88100989197534,299.89632484567903,638.2831414106823,653.2201770882382,708.2916921145386,467.8221830972539,571.3227243559172,572.2673292661858,522.9020195859882,65.3221871763301,1.693086715412872,38.58171384942962,65.30795427701221,2.3288609080922296,64.73533415005923,2.5607322572181195
4,4.0,27.0,60.87173611111112,9.39673611111111,2297.4839329943225,386.5192483497442,400.26387683653763,9.670170561285865,1.6083386615436113,289.91722359779135,263.4496665899562,291.3391654889166,299.92129644074276,299.80715065011987,287.3743585618205,295.92654050172746,603.4466712194627,516.920572615098,638.1737069690289,463.80893877971187,476.9334725462347,496.934348209664,462.1271912328487,299.90719072061194,299.9394324577295,299.93601545893716,299.9257096115137,299.9256629227053,299.9221200583736,300.00742312801935,401.0771367954912,403.07737584061806,415.8118539402174,449.7502528834541,450.1860603613124,580.186937354066,576.688418699678,65.57659309712278,1.5033834731238762,43.61933882435289,65.20321195284814,1.9874910633748692,64.87657407407409,2.127951388888889
5,5.0,27.0,54.39762681159421,16.54335144927536,1646.184437748996,425.464872020458,400.0290625240302,9.498617945657154,1.6322187679543771,255.42776471606106,256.7906745034452,258.2474144059821,299.8281736996705,299.7872007416309,270.99814490237526,274.8199957923951,617.8282247543569,626.2387545498832,641.4544925856579,429.13393189526977,449.9708034491894,478.26706193682645,424.69154442968363,299.90719072061194,299.9394324577295,299.93601545893716,299.9257096115137,299.9256629227053,299.9221200583736,300.00742312801935,401.0771367954912,403.07737584061806,415.8118539402174,449.7502528834541,450.1860603613124,580.186937354066,576.688418699678,65.08800444103912,1.7126004035302165,38.0053655872508,64.3910341046585,2.7811601612206953,64.72548002776065,2.5041415564906946
6,6.0,57.0,53.853125,17.97653645833333,4043.5189515357174,559.4058652407892,398.52024892490607,9.740380913072611,1.7027356114170558,292.1025270182292,291.3436781883521,292.12662025824653,299.72903028184,299.7586136717284,317.6991058304398,300.87115102394387,512.7696081431849,534.2832487685502,508.86042802703406,396.32594345926225,396.7878043034637,449.34632482435626,392.66277696121847,299.92505819444443,299.8613891358025,299.93719330246915,299.93534706790126,299.9375142901235,299.88100989197534,299.89632484567903,638.2831414106823,653.2201770882382,708.2916921145386,467.8221830972539,571.3227243559172,572.2673292661858,522.9020195859882,64.90958172849939,2.1070852830332085,30.80538896606037,64.46652792617155,2.7793234842465733,64.848091960988,2.557894105638274
7,7.0,57.0,58.02734053497942,12.813585390946502,2981.571098536572,483.1920057956401,399.34536117565955,9.760998430006962,1.669756397515697,288.7920983253315,287.4924067101052,291.2894880687014,299.9123333991375,299.80941203438886,298.5584390960791,298.74330787699097,480.3391630082527,483.8370484435525,496.4299462843514,395.6797151462147,400.74004902747777,403.1411854563601,400.0129082217648,299.92505819444443,299.8613891358025,299.93719330246915,299.93534706790126,299.9375142901235,299.88100989197534,299.89632484567903,638.2831414106823,653.2201770882382,708.2916921145386,467.8221830972539,571.3227243559172,572.2673292661858,522.9020195859882,65.24167899171258,1.7153231496333685,38.034628638724584,64.93962423544622,2.481055351438856,64.79246458868714,2.336550691902146
8,8.0,57.0,54.43866279069768,16.71283914728682,3407.798095517635,455.64793610341303,399.7646849004249,10.01387042861757,1.6912551803148939,289.3337227201766,289.2171358284884,288.80198696436264,299.91521304194447,300.01301626328444,296.84907784776055,296.8344850909776,503.27069817218603,496.3716272923678,502.9678190571642,452.05678807332043,448.79416417151157,434.5618867463394,431.54543933839363,299.92505819444443,299.8613891358025,299.93719330246915,299.93534706790126,299.9375142901235,299.88100989197534,299.89632484567903,638.2831414106823,653.2201770882382,708.2916921145386,467.8221830972539,571.3227243559172,572.2673292661858,522.9020195859882,65.67979432171876,1.159730126503058,56.633688149296844,65.47154134691645,1.7128421309949675,65.50298449612403,1.6231492248062016
9,9.0,57.0,55.87833333333333,14.238844696969698,2088.978122684298,407.8812320885603,399.9955178993041,9.64528664594912,1.6734923087687372,250.56727465484866,248.9736783444766,251.59529814938944,299.521268139265,300.2145104645876,257.9105474066316,259.8407857124135,607.0462901543107,571.3315128162468,622.3511838311264,443.7617071982855,465.8839154170895,456.1323037572567,462.4651108695769,299.92505819444443,299.8613891358025,299.93719330246915,299.93534706790126,299.9375142901235,299.88100989197534,299.89632484567903,638.2831414106823,653.2201770882382,708.2916921145386,467.8221830972539,571.3227243559172,572.2673292661858,522.9020195859882,65.51468060436312,1.3552416857524028,48.34169528071349,65.29306072066126,1.9482782909480665,65.43929423163178,1.9694077897152085
